ods_code,name,alt_names,type,region,ics,correspondent,url
RCF,Airedale NHS Foundation Trust,Airedale;Airedale Hospital,Acute and Acute & Community Trusts,North East and Yorkshire,West Yorkshire,Henry,https://www.airedale-trust.nhs.uk/about-us/our-board-and-leadership/
RCU,Sheffield Children's NHS Foundation Trust,Sheffield Children's;Sheffield Childrens,Acute and Acute & Community Trusts,North East and Yorkshire,South Yorkshire,Henry,https://www.sheffieldchildrens.nhs.uk/about-us/board-of-directors/
RFF,Barnsley Hospital NHS Foundation Trust,Barnsley Hospital;BHFT,Acute and Acute & Community Trusts,North East and Yorkshire,South Yorkshire,Henry,https://www.barnsleyhospital.nhs.uk/about/how-we-are-run/board-of-directors/meetings-and-papers
RFR,The Rotherham NHS Foundation Trust,Rotherham;TRFT,Acute and Acute & Community Trusts,North East and Yorkshire,South Yorkshire,Henry,https://www.therotherhamft.nhs.uk/about-us/board-meetings
RGD,Leeds and York Partnership NHS Foundation Trust,Leeds and York Partnership;Leeds York Partnership;LYPFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,West Yorkshire,Henry,https://www.leedsandyorkpft.nhs.uk/about-us/board-of-directors/board-of-directors-meetings/
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,Sheffield Teaching Hospitals;STH,Acute and Acute & Community Trusts,North East and Yorkshire,South Yorkshire,Henry,https://www.sth.nhs.uk/about-us/board-meetings/
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,Northern Lincolnshire and Goole,Acute and Acute & Community Trusts,North East and Yorkshire,Humber and North Yorkshire,Henry,https://www.nlg.nhs.uk/resources/board-papers-archive-2021/
RP5,Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,Doncaster and Bassetlaw Teaching Hospitals;Doncaster Bassetlaw Teaching Hospitals;DBTH,Acute and Acute & Community Trusts,North East and Yorkshire,South Yorkshire,Henry,https://www.dbth.nhs.uk/board/
RR8,Leeds Teaching Hospitals NHS Trust,Leeds Teaching Hospitals;LTHT,Acute and Acute & Community Trusts,North East and Yorkshire,West Yorkshire,Henry,https://www.leedsth.nhs.uk/about-us/board-papers/
RV9,Humber Teaching NHS Foundation Trust,Humber Teaching,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,Humber and North Yorkshire,Henry,https://www.humber.nhs.uk/about/trust-board/
RWA,Hull University Teaching Hospitals NHS Trust,Hull University Teaching Hospitals;HUTH,Acute and Acute & Community Trusts,North East and Yorkshire,Humber and North Yorkshire,Henry,https://www.hey.nhs.uk/about-us/board-papers/
RWY,Calderdale and Huddersfield NHS Foundation Trust,Calderdale and Huddersfield;Calderdale Huddersfield;CHFT,Acute and Acute & Community Trusts,North East and Yorkshire,West Yorkshire,Henry,https://www.cht.nhs.uk/publications/board-of-directors-meeting-dates-and-papers
RXE,Rotherham Doncaster and South Humber NHS Foundation Trust,Rotherham Doncaster and South Humber;Rotherham NHS Foundation Trust;Rotherham;TRFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,South Yorkshire,Henry,https://www.rdash.nhs.uk/about-us/governance/board-of-directors/board-of-directors-meetings/
RXF,Mid Yorkshire Teaching NHS Trust,Mid Yorkshire Teaching;MYTT;Mid Yorkshire Hospitals,Acute and Acute & Community Trusts,North East and Yorkshire,West Yorkshire,Henry,https://www.midyorks.nhs.uk/board-meetings/
RXG,South West Yorkshire Partnership NHS Foundation Trust,South West Yorkshire Partnership;SWYPFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,West Yorkshire,Henry,https://www.southwestyorkshire.nhs.uk/about-us-2/how-were-run/our-trust-board/meeting-papers/
RY6,Leeds Community Healthcare NHS Trust,Leeds Community Healthcare,Community Trusts,North East and Yorkshire,West Yorkshire,Henry,https://leedscommunityhealthcare.nhs.uk/about-us/board-of-directors/board-papers-and-meetings/
TAD,Bradford District Care NHS Foundation Trust,Bradford District Care,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,West Yorkshire,Henry,https://www.bdct.nhs.uk/about-us/board-meetings-and-papers/
TAH,Sheffield Health and Social Care NHS Foundation Trust,Sheffield Health and Social Care,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,South Yorkshire,Henry,https://www.shsc.nhs.uk/about-us/board-directors
RCX,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,Queen Elizabeth Hospital King's Lynn;Queen Elizabeth Hospital Kings Lynn;QEH Kings Lynn;QEHKL,Acute and Acute & Community Trusts,East of England,Norfolk and Waveney,James,https://www.qehkl.nhs.uk/about-us/meetings-of-the-board-of-directors/
RDE,East Suffolk and North Essex NHS Foundation Trust,East Suffolk and North Essex;ESNEFT;East Suffolk North Essex,Acute and Acute & Community Trusts,East of England,Suffolk and North East Essex,James,https://www.esneft.nhs.uk/about-us/how-we-work/board-of-directors-meetings/
RGM,Royal Papworth Hospital NHS Foundation Trust,Royal Papworth Hospital,Acute Specialist Trusts,East of England,Cambridgeshire and Peterborough,James,https://royalpapworth.nhs.uk/our-hospital/how-we-are-run/our-board-directors/board-directors-meetings
RGN,North West Anglia NHS Foundation Trust,North West Anglia;NWAFT;Peterborough City Hospital,Acute and Acute & Community Trusts,East of England,Cambridgeshire and Peterborough,James,https://www.nwangliaft.nhs.uk/trust-board/
RGP,James Paget University Hospitals NHS Foundation Trust,James Paget University Hospitals;JPUH,Acute and Acute & Community Trusts,East of England,Norfolk and Waveney,James,https://www.jpaget.nhs.uk/about-us/our-board-and-governors/our-board-of-directors/
RGR,West Suffolk NHS Foundation Trust,West Suffolk,Acute and Acute & Community Trusts,East of England,Suffolk and North East Essex,James,https://www.wsh.nhs.uk/our-organisation/how-we-are-run/trust-board
RGT,Cambridge University Hospitals NHS Foundation Trust,Cambridge University Hospitals;CUH;Addenbrooke's,Acute and Acute & Community Trusts,East of England,Cambridgeshire and Peterborough,James,https://www.cuh.nhs.uk/about-us/board-directors/board-of-directors-meetings/
RM1,Norfolk and Norwich University Hospitals NHS Foundation Trust,Norfolk and Norwich University Hospitals;Norfolk Norwich University Hospitals;NNUH,Acute and Acute & Community Trusts,East of England,Norfolk and Waveney,James,https://www.nnuh.nhs.uk/about-us/trust-board-meetings/
RMY,Norfolk and Suffolk NHS Foundation Trust,Norfolk and Suffolk,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",East of England,Norfolk and Waveney,James,https://www.nsft.nhs.uk/board-papers/
RT1,Cambridgeshire and Peterborough NHS Foundation Trust,Cambridgeshire and Peterborough,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",East of England,Cambridgeshire and Peterborough,James,https://www.cpft.nhs.uk/board-of-directors/
RY3,Norfolk Community Health and Care NHS Trust,Norfolk Community Health and Care,Community Trusts,East of England,Norfolk and Waveney,James,https://www.norfolkcommunityhealthandcare.nhs.uk/board-papers-and-meetings/
RYV,Cambridgeshire Community Services NHS Trust,Cambridgeshire Community Services,Community Trusts,East of England,Cambridgeshire and Peterborough,James,https://eastofenglandcommunityhealthandcare.nhs.uk/about-us/our-board/board-meetings-and-reports/
R0D,University Hospitals Dorset NHS Foundation Trust,University Hospitals Dorset,Acute and Acute & Community Trusts,South West,Dorset,Joe,https://www.uhd.nhs.uk/about-us/our-performance/board-papers
RA7,University Hospitals Bristol and Weston NHS Foundation Trust,University Hospitals Bristol and Weston;UHBW;University Hospitals Bristol Weston,Acute and Acute & Community Trusts,South West,"Bristol, North Somerset and South Gloucestershire",Joe,https://www.uhbw.nhs.uk/about-us/board-papers/
RA9,Torbay and South Devon NHS Foundation Trust,Torbay and South Devon,Acute and Acute & Community Trusts,South West,Devon,Joe,https://www.torbayandsouthdevon.nhs.uk/about-us/board-meetings/
RBD,Dorset County Hospital NHS Foundation Trust,Dorset County Hospital,Acute and Acute & Community Trusts,South West,Dorset,Joe,https://www.dchft.nhs.uk/about-us/trust-board/
RD1,Royal United Hospitals Bath NHS Foundation Trust,Royal United Hospitals Bath;RUH Bath;RUH,Acute and Acute & Community Trusts,South West,"Bath and North East Somerset, Swindon and Wiltshire",Joe,https://www.ruh.nhs.uk/about/trustboard/index.asp
RDY,Dorset Healthcare University NHS Foundation Trust,Dorset Healthcare University,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South West,Dorset,Joe,https://www.dorsethealthcare.nhs.uk/about-us/trust-board
REF,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospitals;RCHT,Acute and Acute & Community Trusts,South West,Cornwall and the Isles of Scilly,Joe,https://www.royalcornwall.nhs.uk/our-organisation/about/your-trust-board/
RH5,Somerset NHS Foundation Trust,Somerset,Acute and Acute & Community Trusts,South West,Somerset,Joe,https://www.somersetft.nhs.uk/about-us/trust-board-meetings/
RH8,Royal Devon University Healthcare NHS Foundation Trust,Royal Devon University Healthcare;RDUH;Royal Devon,Acute and Acute & Community Trusts,South West,Devon,Joe,https://www.royaldevon.nhs.uk/about-us/board-of-directors/board-meetings-papers-minutes/
RJ8,Cornwall Partnership NHS Foundation Trust,Cornwall Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South West,Cornwall and the Isles of Scilly,Joe,https://www.cornwallft.nhs.uk/board-papers/
RK9,University Hospitals Plymouth NHS Trust,University Hospitals Plymouth;UHP;Plymouth Hospitals,Acute and Acute & Community Trusts,South West,Devon,Joe,https://www.plymouthhospitals.nhs.uk/trust-board-meetings-and-papers/
RN3,Great Western Hospitals NHS Foundation Trust,Great Western Hospitals;GWH,Acute and Acute & Community Trusts,South West,"Bath and North East Somerset, Swindon and Wiltshire",Joe,https://www.gwh.nhs.uk/about-us/how-we-make-decisions/board-meetings-and-papers/
RNZ,Salisbury NHS Foundation Trust,Salisbury,Acute and Acute & Community Trusts,South West,"Bath and North East Somerset, Swindon and Wiltshire",Joe,https://www.salisbury.nhs.uk/about-us/the-trust-board/trust-board-meetings/
RTE,Gloucestershire Hospitals NHS Foundation Trust,Gloucestershire Hospitals;Glos Hospitals;GlossHospitals,Acute and Acute & Community Trusts,South West,Gloucestershire,Joe,https://www.gloshospitals.nhs.uk/about-us/our-board/board-papers/
RTQ,Gloucestershire Health and Care NHS Foundation Trust,Gloucestershire Health and Care,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South West,Gloucestershire,Joe,https://www.ghc.nhs.uk/who-we-are/board-and-governors/
RVJ,North Bristol NHS Trust,North Bristol,Acute and Acute & Community Trusts,South West,"Bristol, North Somerset and South Gloucestershire",Joe,https://www.nbt.nhs.uk/about-us/meet-our-board/trust-board-meetings-20252026
RVN,Avon and Wiltshire Mental Health Partnership NHS Trust,Avon and Wiltshire Mental Health Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South West,"Bath and North East Somerset, Swindon and Wiltshire",Joe,https://www.awp.nhs.uk/about-us/publications/board-papers
RWV,Devon Partnership NHS Trust,Devon Partnership,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South West,Devon,Joe,https://www.dpt.nhs.uk/publications/
RPG,Oxleas NHS Foundation Trust,Oxleas,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,South East London,Ella,https://www.oxleas.nhs.uk/board-papers/
RQY,South West London and St George's Mental Health NHS Trust,South West London and St George's Mental Health;St George's University Hospitals NHS Foundation Trust;St Georges University Hospitals;St George's,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,South West London,Ella,https://www.stgeorges.nhs.uk/about-us/board-papers/
RV5,South London and Maudsley NHS Foundation Trust,South London and Maudsley;SLaM;South London Maudsley,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,South East London,Ella,https://www.slam.nhs.uk/about-us/trust-board/
R1H,Barts Health NHS Trust,Barts Health;Barts,Acute and Acute & Community Trusts,London,North East London,Matt D,https://www.bartshealth.nhs.uk/board-meetings
R1K,London North West University Healthcare NHS Trust,London North West University Healthcare,Acute and Acute & Community Trusts,London,North West London,Matt D,https://www.nwl-acute-provider-group.nhs.uk/publications
RAL,Royal Free London NHS Foundation Trust,Royal Free London;Royal Free;RFL,Acute and Acute & Community Trusts,London,North Central London,Matt D,https://www.royalfree.nhs.uk/about-us/trust-board/trust-board-meetings
RAS,The Hillingdon Hospitals NHS Foundation Trust,Hillingdon Hospitals,Acute and Acute & Community Trusts,London,North West London,Matt D,https://www.nwl-acute-provider-group.nhs.uk/about-us/board-in-common
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust","Barking, Havering and Redbridge University Hospitals",Acute and Acute & Community Trusts,London,North East London,Matt D,https://www.bhrhospitals.nhs.uk/papers-minutes/
RKE,Whittington Health NHS Trust,Whittington Health,Acute and Acute & Community Trusts,London,North Central London,Matt D,https://www.whittington.nhs.uk/default.asp?c=20208
RQM,Chelsea and Westminster Hospital NHS Foundation Trust,Chelsea and Westminster Hospital;Chelsea Westminster Hospital;ChelWest,Acute and Acute & Community Trusts,London,North West London,Matt D,https://www.chelwest.nhs.uk/about-us/board-of-directors/
RQX,Homerton Healthcare NHS Foundation Trust,Homerton Healthcare,Acute and Acute & Community Trusts,London,North East London,Matt D,https://www.homerton.nhs.uk/board-papers/
RRV,University College London Hospitals NHS Foundation Trust,University College London Hospitals;UCLH,Acute and Acute & Community Trusts,London,North Central London,Matt D,https://www.uclh.nhs.uk/about-us/who-we-are/board-directors/board-meetings-and-papers
RYJ,Imperial College Healthcare NHS Trust,Imperial College Healthcare;Imperial Healthcare,Acute and Acute & Community Trusts,London,North West London,Matt D,https://www.imperial.nhs.uk/about-us/board-papers/
RAN,Royal National Orthopaedic Hospital NHS Trust,Royal National Orthopaedic Hospital;RNOH,Acute Specialist Trusts,London,North West London,Matt D,https://www.rnoh.nhs.uk/about-us/corporate-information/board-meetings
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Great Ormond Street Hospital for Children;Great Ormond Street;GOSH,Acute Specialist Trusts,London,North Central London,Matt D,https://www.gosh.nhs.uk/about-us/who-we-are/organisational-structure/trust-board/trust-board-meetings/
RRU,London Ambulance Service NHS Trust,London Ambulance Service;LAS,Ambulance Trusts,London,-,Matt D,https://www.londonambulance.nhs.uk/about-us/how-we-are-run/trust-board/
RAT,North East London NHS Foundation Trust,North East London;NELFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North East London,Matt D,https://www.nelft.nhs.uk/about-us-board-papers/
RKL,West London NHS Trust,West London,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North West London,Matt D,https://www.westlondon.nhs.uk/about-us/trust-board/board-papers
RNK,Tavistock and Portman NHS Foundation Trust,Tavistock and Portman,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North Central London,Matt D,https://tavistockandportman.nhs.uk/about-us/our-board/
RRP,"Barnet, Enfield and Haringey Mental Health NHS Trust","Barnet, Enfield and Haringey Mental Health","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North Central London,Matt D,https://www.northlondonmentalhealth.nhs.uk/our-board/
RV3,Central and North West London NHS Foundation Trust,Central and North West London,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North Central London,Matt D,https://www.cnwl.nhs.uk/about/planning-performance-and-reports
RWK,East London NHS Foundation Trust,East London;North East London NHS Foundation Trust;NELFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North East London,Matt D,https://www.elft.nhs.uk/information-about-elft/our-board/trust-board-meetings
R0B,South Tyneside and Sunderland NHS Foundation Trust,South Tyneside and Sunderland;South Tyneside Sunderland;STSFT,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.stsft.nhs.uk/about-us/our-people/our-board/board-papers
RNN,North Cumbria Integrated Care NHS Foundation Trust,North Cumbria Integrated Care,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.ncic.nhs.uk/trust/how-we-are-run/board-meetings
RR7,Gateshead Health NHS Foundation Trust,Gateshead Health;QE Gateshead,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.gatesheadhealth.nhs.uk/news/resources_type/board-papers/
RTD,The Newcastle upon Tyne Hospitals NHS Foundation Trust,Newcastle upon Tyne Hospitals;Newcastle Hospitals;NUTH,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.newcastle-hospitals.nhs.uk/about/board-of-directors-2/board-of-directors-papers/
RTF,Northumbria Healthcare NHS Foundation Trust,Northumbria Healthcare,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.northumbria.nhs.uk/about-us/corporate-information/strategies-and-reports/board-papers
RTR,South Tees Hospitals NHS Foundation Trust,South Tees Hospitals;South Tees,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.southtees.nhs.uk/resources/board-of-directors-agenda-1-february-2022/
RVW,North Tees and Hartlepool NHS Foundation Trust,North Tees and Hartlepool;North Tees Hartlepool;NTH,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.nth.nhs.uk/about/board-meetings/
RX3,"Tees, Esk and Wear Valleys NHS Foundation Trust","Tees, Esk and Wear Valleys","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,North East and North Cumbria,Matt M,https://www.tewv.nhs.uk/about/board/papers-previous-board-meetings/
RX4,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust","Cumbria, Northumberland, Tyne and Wear;CNTW;Cumbria Northumberland Tyne Wear","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North East and Yorkshire,North East and North Cumbria,Matt M,https://www.cntw.nhs.uk/about/publications/board-papers-27-may-2015/agenda-item-10-i-trust-board-models-of-care-front-sheet/
RXP,County Durham and Darlington NHS Foundation Trust,County Durham and Darlington;County Durham Darlington;CDDFT,Acute and Acute & Community Trusts,North East and Yorkshire,North East and North Cumbria,Matt M,https://www.cddft.nhs.uk/about-us/corporate-information/trust-board/board-meetings-and-papers
R1C,Solent NHS Trust,Solent,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",South East,Hampshire and Isle of Wight,Mimi,https://hiowhealthcare.nhs.uk/about-us/our-board/meetings-and-papers
R1F1,Isle of Wight NHS Trust,,Acute and Acute & Community Trusts,South East,Hampshire and Isle of Wight,Mimi,https://www.iow.nhs.uk/about-us/our-trust-board
RDU,Frimley Health NHS Foundation Trust,Frimley Health;FHFT,Acute and Acute & Community Trusts,South East,Frimley,Mimi,https://www.fhft.nhs.uk/about-us/how-we-are-run/trust-board
RHM,University Hospital Southampton NHS Foundation Trust,University Hospital Southampton;UHS;Southampton University Hospitals,Acute and Acute & Community Trusts,South East,Hampshire and Isle of Wight,Mimi,https://www.uhs.nhs.uk/about-the-trust/how-the-trust-is-run/trust-board
RHU,Portsmouth Hospitals University National Health Service Trust,Portsmouth Hospitals University NHS Trust;Portsmouth Hospitals;PHU,Acute and Acute & Community Trusts,South East,Hampshire and Isle of Wight,Mimi,https://www.porthosp.nhs.uk/about-us/our-trust/our-trust-board
