ods_code,name,alt_names,type,region,ics,correspondent,url
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,Liverpool Heart and Chest Hospital;Liverpool Heart Chest Hospital;LHCH,Acute Specialist Trusts,North West,Cheshire and Merseyside,Zoe,https://www.lhch.nhs.uk/board-of-directors-meetings
RBS,Alder Hey Children's NHS Foundation Trust,Alder Hey Children's;Alder Hey,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.alderhey.nhs.uk/about-us/trust-board/
RBT,Mid Cheshire Hospitals NHS Foundation Trust,Mid Cheshire Hospitals;MCHFT,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.mcht.nhs.uk/about-us/board-directors/board-papers-and-minutes
REM,Liverpool University Hospitals NHS Foundation Trust,Liverpool University Hospitals;LUHFT,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.uhliverpool.nhs.uk/about-us/meet-our-board/trust-board-meetings
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Clatterbridge Cancer Centre;CCC,Acute Specialist Trusts,North West,Cheshire and Merseyside,Zoe,https://www.clatterbridgecc.nhs.uk/about-us/how-were-run/trust-board/board-meetings
REP,Liverpool Women's NHS Foundation Trust,Liverpool Women's,Acute Specialist Trusts,North West,Cheshire and Merseyside,Zoe,https://www.liverpoolwomens.nhs.uk/about-us/board-papers/
RET,The Walton Centre NHS Foundation Trust,Walton Centre,Acute Specialist Trusts,North West,Cheshire and Merseyside,Zoe,https://www.thewaltoncentre.nhs.uk/trust-board/
RJN,East Cheshire NHS Trust,East Cheshire;Macclesfield Hospital,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.eastcheshire.nhs.uk/trust/board/reports-and-meetings/agm
RJR,Countess of Chester Hospital NHS Foundation Trust,Countess of Chester Hospital;Countess of Chester;COCH,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.coch.nhs.uk/about-us/board-papers/
RTX,University Hospitals of Morecambe Bay NHS Foundation Trust,University Hospitals of Morecambe Bay,Acute and Acute & Community Trusts,North West,Lancashire and South Cumbria,Zoe,https://www.uhmb.nhs.uk/our-trust/trust-board-and-council-governor-meetings
RW4,Mersey Care NHS Foundation Trust,Mersey Care,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North West,Cheshire and Merseyside,Zoe,https://www.merseycare.nhs.uk/board-papers
RW5,Lancashire and South Cumbria NHS Foundation Trust,Lancashire and South Cumbria;Lancashire South Cumbria Foundation Trust;LSCFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North West,Lancashire and South Cumbria,Zoe,https://www.lscft.nhs.uk/about-us/board/board-papers
RWW,Warrington and Halton Teaching Hospitals NHS Foundation Trust,Warrington and Halton Teaching Hospitals;Warrington Halton Teaching Hospitals;WHH,Acute and Acute & Community Trusts,North West,Cheshire and Merseyside,Zoe,https://whh.nhs.uk/about-us/how-we-work/board-meetings-and-papers/
RXA,Cheshire and Wirral Partnership NHS Foundation Trust,Cheshire and Wirral Partnership;Cheshire Wirral Partnership;CWP,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",North West,Cheshire and Merseyside,Zoe,https://www.cwp.nhs.uk/about-us/our-board-and-governors/
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Teaching Hospitals;BTH;BFWH,Acute and Acute & Community Trusts,North West,Lancashire and South Cumbria,Zoe,https://www.blackpoolteachinghospitals.nhs.uk/about-us/meet-board/board-meetings-public
RXN,Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire Teaching Hospitals;LTH,Acute and Acute & Community Trusts,North West,Lancashire and South Cumbria,Zoe,https://www.lancsteachinghospitals.nhs.uk/board-of-directors
RXR,East Lancashire Hospitals NHS Trust,East Lancashire Hospitals;ELHT,Acute and Acute & Community Trusts,North West,Lancashire and South Cumbria,Zoe,https://elht.nhs.uk/about-us/board-meetings-including-agenda-and-papers
RY2,Bridgewater Community Healthcare NHS Foundation Trust,Bridgewater Community Healthcare;Bridgewater,Community Trusts,North West,Cheshire and Merseyside,Zoe,https://bridgewater.nhs.uk/about-us/how-we-work/board-meetings-and-papers/
RY7,Wirral Community Health and Care NHS Foundation Trust,Wirral Community Health and Care,Community Trusts,North West,Cheshire and Merseyside,Zoe,https://www.wchc.nhs.uk/about/board-governors/board-meetings-papers/
TAF,Camden and Islington NHS Foundation Trust,Camden and Islington;Camden Islington;C&I,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",London,North Central London,Matt D,https://www.northlondonmentalhealth.nhs.uk/meetings-and-papers/
RX6,North East Ambulance Service NHS Foundation Trust,North East Ambulance Service;NEAS,Ambulance Trusts,North East and Yorkshire,-,Matt M,https://www.neas.nhs.uk/about-us/trust-board
RX7,North West Ambulance Service NHS Trust,North West Ambulance Service;NWAS,Ambulance Trusts,North West,-,Nick,https://www.nwas.nhs.uk/publications/board-papers-26-april-2023/
RX8,Yorkshire Ambulance Service NHS Trust,Yorkshire Ambulance Service;YAS,Ambulance Trusts,North East and Yorkshire,-,Henry,https://www.yas.nhs.uk/about-us/the-trust-board/
RX9,East Midlands Ambulance Service NHS Trust,East Midlands Ambulance Service;EMAS,Ambulance Trusts,Midlands,-,Annabelle,https://www.emas.nhs.uk/about-us/trust-board/next-board-meeting/archive-board-papers
RYA,West Midlands Ambulance Service University NHS Foundation Trust,West Midlands Ambulance Service University;WMAS,Ambulance Trusts,Midlands,-,Caitlin,https://www.wmas.nhs.uk/about-us/board-papers/
RYC,East of England Ambulance Service NHS Trust,East of England Ambulance Service;EEAST,Ambulance Trusts,East of England,-,James,https://www.eastamb.nhs.uk/about-us/trust-board/public-board-meetings-and-papers
RYD,South East Coast Ambulance Service NHS Foundation Trust,South East Coast Ambulance Service;SECAmb,Ambulance Trusts,South East,-,Alison,https://www.secamb.nhs.uk/about-us/board-papers/
RYE,South Central Ambulance Service NHS Foundation Trust,South Central Ambulance Service;SCAS,Ambulance Trusts,South East,-,Mimi,https://www.scas.nhs.uk/about-us/board-of-directors/
RYF,South Western Ambulance Service NHS Foundation Trust,South Western Ambulance Service;SWASFT,Ambulance Trusts,South West,-,Joe,https://www.swast.nhs.uk/our-board/board-meeting-schedule-and-public-papers
